16	112.2	118.8	92.4	100.9	172.9	183.1	117.8	119.0	177.5
32	144.2	167.1	102.9	105.5	228.3	236.7	157.2	160.5	228.3
64	163.2	212.2	95.7	107.6	266.5	271.0	193.4	200.6	272.0
128	166.5	232.1	96.4	108.5	292.1	304.4	219.6	231.1	302.7
256	166.9	238.7	94.3	108.6	306.9	327.7	224.7	249.0	335.4
512	172.4	235.5	87.7	104.8	311.3	364.9	239.5	251.1	361.9
1024	147.3	223.9	80.3	94.5	292.8	402.3	198.4	239.3	411.6
2048	138.8	210.9	73.9	88.6	270.1	437.5	194.0	236.6	437.3
4096	133.9	150.1	62.8	67.4	182.0	452.5	147.6	210.2	448.0
