1 546.5 521.7 578.3 439.0 436.4 440.4 1059.3 1043.5 1090.9 1180.5 1170.7 1200 1031.5 960 1091
2 819.5 727.3 872.7 786.9 786.9 786.9 1601.2 1548.4 1655.2 2002.4 1920 2087.0 1763 1655 1920
4 1346 1333 1371 1346 1333 1371 3440 3200 3692 2442.105 2400 2526.3 2941 2823 3000
