499	115351.889 us
498	59043.813 us
497	58734.834 us
496	59075.592 us
495	58777.852 us
494	58611.863 us
493	60256.869 us
492	58403.606 us
491	59263.475 us
490	58810.929 us
489	58868.764 us
488	59065.431 us
487	58141.620 us
486	58870.424 us
485	59134.630 us
484	58901.382 us
483	59792.288 us
482	58845.478 us
481	58871.721 us
480	59093.246 us
479	59670.814 us
478	59334.551 us
477	58822.660 us
476	59636.914 us
475	60547.11 us
474	59186.690 us
473	59243.839 us
472	59483.640 us
471	59425.194 us
470	59276.825 us
469	59339.849 us
468	59086.150 us
467	58917.177 us
466	59148.611 us
465	59293.624 us
464	60620.597 us
463	59286.356 us
462	59189.38 us
461	59208.493 us
460	59477.519 us
459	58857.202 us
458	59005.601 us
457	59284.391 us
456	59384.826 us
455	59806.602 us
454	59392.523 us
453	58843.537 us
452	59793.937 us
451	59555.863 us
450	59530.132 us
449	59377.489 us
448	59270.139 us
447	59472.675 us
446	59487.11 us
445	59210.516 us
444	59220.462 us
443	59617.475 us
442	59401.483 us
441	59537.563 us
440	59106.552 us
439	59244.247 us
438	59475.514 us
437	59362.754 us
436	59401.213 us
435	59195.10 us
434	59458.164 us
433	59576.812 us
432	59208.582 us
431	59199.702 us
430	59222.918 us
429	59517.621 us
428	58995.937 us
427	59692.134 us
426	59606.944 us
425	58774.198 us
424	59664.65 us
423	59480.899 us
422	59566.638 us
421	59740.176 us
420	59746.340 us
419	59659.64 us
418	59483.998 us
417	59588.88 us
416	59378.651 us
415	59418.505 us
414	59861.936 us
413	59747.834 us
412	59496.555 us
411	59531.879 us
410	59561.755 us
409	59497.106 us
408	59711.679 us
407	59823.914 us
406	59858.942 us
405	59804.709 us
404	58666.13 us
403	59257.806 us
402	59421.7 us
401	59566.136 us
400	59652.336 us
399	59776.711 us
398	59502.217 us
397	58962.238 us
396	59579.762 us
395	59576.546 us
394	59570.287 us
393	59554.618 us
392	59448.532 us
391	59819.972 us
390	59620.684 us
389	59847.806 us
388	59535.968 us
387	59738.622 us
386	59495.707 us
385	59627.927 us
384	59800.708 us
383	59491.641 us
382	59666.999 us
381	59675.667 us
380	59043.644 us
379	59551.614 us
378	59779.585 us
377	59831.992 us
376	59659.33 us
375	59156.397 us
374	59353.504 us
373	59684.175 us
372	59563.805 us
371	59693.494 us
370	59701.999 us
369	59523.379 us
368	59372.955 us
367	59579.362 us
366	59598.830 us
365	59681.628 us
364	60069.886 us
363	59742.408 us
362	59310.756 us
361	59785.348 us
360	59465.321 us
359	59601.255 us
358	59680.955 us
357	59851.101 us
356	59578.345 us
355	59131.901 us
354	59749.920 us
353	59629.110 us
352	59562.974 us
351	59785.356 us
350	59731.971 us
349	59747.711 us
348	59526.673 us
347	58954.283 us
346	59718.718 us
345	59466.469 us
344	59397.209 us
343	59324.947 us
342	59368.687 us
341	58684.883 us
340	59536.564 us
339	59204.817 us
338	59263.669 us
337	59151.742 us
336	59867.388 us
335	59078.353 us
334	59327.475 us
333	59288.500 us
332	59271.360 us
331	58514.297 us
330	59453.213 us
329	59579.672 us
328	59354.277 us
327	59197.896 us
326	59547.543 us
325	59495.766 us
324	59250.593 us
323	59638.553 us
322	59650.870 us
321	59181.64 us
320	59372.923 us
319	58937.162 us
318	59218.256 us
317	59393.221 us
316	59699.34 us
315	59790.184 us
314	59440.350 us
313	59748.903 us
312	59456.458 us
311	59359.645 us
310	59562.654 us
309	59332.218 us
308	59767.939 us
307	59450.360 us
306	59757.242 us
305	59623.850 us
304	59765.693 us
303	59647.101 us
302	59538.974 us
301	59783.511 us
300	59571.319 us
299	59465.359 us
298	59700.936 us
297	59685.68 us
296	59666.148 us
295	59667.324 us
294	59604.655 us
293	59593.551 us
292	59577.836 us
291	59563.416 us
290	58906.943 us
289	59726.859 us
288	59577.979 us
287	59819.907 us
286	59813.84 us
285	59397.125 us
284	59795.980 us
283	59652.383 us
282	59924.210 us
281	59703.901 us
280	59758.438 us
279	59596.434 us
278	59380.726 us
277	59597.943 us
276	59860.133 us
275	59659.415 us
274	59493.367 us
273	59564.354 us
272	59550.212 us
271	59677.974 us
270	59390.109 us
269	59597.667 us
268	59523.369 us
267	59800.382 us
266	59604.740 us
265	59651.982 us
264	59650.921 us
263	59710.458 us
262	59272.96 us
261	59834.44 us
260	59677.506 us
259	59732.342 us
258	59236.50 us
257	59540.815 us
256	59137.969 us
255	59879.390 us
254	59373.347 us
253	59392.376 us
252	59372.454 us
251	59453.243 us
250	59302.311 us
249	59236.525 us
248	59344.394 us
247	59077.353 us
246	59302.420 us
245	59318.239 us
244	59207.595 us
243	59353.489 us
242	58559.952 us
241	59611.643 us
240	59147.613 us
239	59471.250 us
238	59195.160 us
237	58071.323 us
236	58125.440 us
235	57930.904 us
234	58132.657 us
233	58096.796 us
232	57894.826 us
231	58093.498 us
230	58078.190 us
229	57958.443 us
228	58090.472 us
227	58083.402 us
226	57982.344 us
225	58112.609 us
224	57933.961 us
223	57761.522 us
222	58068.245 us
221	58129.71 us
220	57839.411 us
219	57947.858 us
218	57883.263 us
217	57939.10 us
216	57984.853 us
215	57934.824 us
214	58069.700 us
213	57990.844 us
212	58157.849 us
211	58020.98 us
210	57630.363 us
209	57841.555 us
208	57692.597 us
207	57891.800 us
206	57945.701 us
205	58120.673 us
204	57908.852 us
203	57816.609 us
202	57978.495 us
201	57943.902 us
200	57914.4 us
199	57864.333 us
198	57969.742 us
197	57917.984 us
196	58027.3 us
195	57974.94 us
194	58024.843 us
193	58099.749 us
192	57815.128 us
191	58045.622 us
190	57858.177 us
189	57837.754 us
188	57990.722 us
187	58356.283 us
186	57928.6 us
185	57927.149 us
184	57977.194 us
183	57935.841 us
182	57693.937 us
181	57751.228 us
180	58073.552 us
179	57966.265 us
178	57887.390 us
177	57957.158 us
176	58107.855 us
175	57708.281 us
174	57832.55 us
173	57990.414 us
172	57871.928 us
171	58088.24 us
170	58042.924 us
169	58014.569 us
168	57762.483 us
167	57730.867 us
166	57872.604 us
165	58037.728 us
164	58033.649 us
163	57740.864 us
162	58045.351 us
161	58015.533 us
160	57917.676 us
159	57841.355 us
158	57991.690 us
157	58017.82 us
156	57919.671 us
155	58003.199 us
154	58025.697 us
153	57789.338 us
152	57828.21 us
151	58022.227 us
150	58028.703 us
149	58081.209 us
148	57984.916 us
147	58032.781 us
146	58069.944 us
145	57928.383 us
144	58350.28 us
143	58004.457 us
142	57871.345 us
141	58316.785 us
140	60320.563 us
139	57847.710 us
138	57948.804 us
137	58011.936 us
136	57885.497 us
135	57850.531 us
134	58082.359 us
133	57844.745 us
132	57993.527 us
131	58093.504 us
130	58100.71 us
129	57810.319 us
128	57598.911 us
127	57968.170 us
126	58016.251 us
125	58051.69 us
124	58210.864 us
123	57872.387 us
122	57766.398 us
121	58241.595 us
120	58122.309 us
119	58246.873 us
118	57990.961 us
117	57924.836 us
116	58153.506 us
115	58062.71 us
114	57983.179 us
113	58177.570 us
112	58332.199 us
111	57912.788 us
110	58085.856 us
109	58318.55 us
108	58015.206 us
107	57967.586 us
106	58132.522 us
105	58120.609 us
104	57934.236 us
103	58067.192 us
102	58134.698 us
101	58198.614 us
100	57799.156 us
99	58082.403 us
98	57831.221 us
97	58081.114 us
96	57974.647 us
95	57804.161 us
94	58220.797 us
93	58022.336 us
92	58010.192 us
91	58179.482 us
90	57924.874 us
89	57962.995 us
88	57891.227 us
87	58327.97 us
86	58047.839 us
85	58102.877 us
84	58027.747 us
83	58101.283 us
82	57988.492 us
81	58376.216 us
80	58293.82 us
79	57945.769 us
78	58097.437 us
