0	117217.120 us
1	59483.239 us
2	59429.132 us
3	58753.555 us
4	59447.372 us
5	58974.360 us
6	58533.931 us
7	58677.942 us
8	58854.390 us
9	58981.673 us
10	58468.924 us
11	58955.137 us
12	58734.954 us
13	58363.350 us
14	59341.745 us
15	58945.330 us
16	58820.730 us
17	58181.958 us
18	58842.722 us
19	58445.994 us
20	58894.786 us
21	59514.180 us
22	59284.165 us
23	59456.931 us
24	60119.718 us
25	59500.550 us
26	59404.335 us
27	59411.549 us
28	59469.978 us
29	59641.925 us
30	59688.302 us
31	59869.54 us
32	59830.557 us
33	59802.12 us
34	59674.992 us
35	59854.837 us
36	59510.551 us
37	59790.96 us
38	59795.616 us
39	59956.530 us
40	59578.124 us
41	59356.810 us
42	60063.199 us
43	59873.134 us
44	59823.832 us
45	59529.139 us
46	59895.497 us
47	59751.506 us
48	59680.295 us
49	59916.288 us
50	59876.200 us
51	59785.21 us
52	59946.21 us
53	59967.339 us
54	59627.496 us
55	59676.496 us
56	60302.752 us
57	59752.433 us
58	59697.874 us
59	59565.779 us
60	59975.259 us
61	59290.667 us
62	59573.461 us
63	59643.8 us
64	59501.113 us
65	59323.238 us
66	59665.186 us
67	59731.216 us
68	59672.791 us
69	58620.894 us
70	59782.731 us
71	59579.530 us
72	59116.665 us
73	59539.570 us
74	59456.435 us
75	59378.866 us
76	59448.622 us
77	59276.964 us
78	58967.978 us
79	59584.980 us
80	59316.768 us
81	59705.137 us
82	59487.372 us
83	59287.420 us
84	59553.214 us
85	59403.106 us
86	59765.501 us
87	59670.712 us
88	59870.77 us
89	59277.96 us
90	59625.282 us
91	59873.368 us
92	59971.34 us
93	59890.708 us
94	59701.296 us
95	59971.359 us
96	59931.904 us
97	59460.611 us
98	59674.193 us
99	59830.878 us
100	59847.648 us
101	59373.615 us
102	59808.710 us
103	59285.454 us
104	59533.429 us
105	59558.579 us
106	59784.933 us
107	59940.287 us
108	59632.768 us
109	59790.496 us
110	59689.843 us
111	59860.822 us
112	59559.720 us
113	59728.807 us
114	60015.420 us
115	60124.733 us
116	59776.576 us
117	59836.743 us
118	59419.683 us
119	59556.189 us
120	59515.113 us
