1  63783.3 62452.00 65268.00
2  72115.5 68068.00 76788.00
3  76990.5 73596.00 80848.00
4  75401.9 71220.00 79640.00
5  78777 75476.00 83080.00
6  79415.6 76100.00 83244.00
7  81557.3 78000.00 85316.00
8  80963.5 77588.00 84488.00
9  81265.9 77736.00 85216.00
10  77066.8 74444.00 80268.00
20  77414.7 72876.00 80976.00
30  77125.9 69300.00 82072.00
40  76218.3 68884.00 80704.00
60  75256.8 65484.00 85324.00
80  75247.9 67876.00 80560.00
100  75097.9 64308.00 85392.00
