pmu20 1441351148641 70
pmu5 1441351148641 30
pmu10 1441351148740 46
pmu20 1441351148740 169
pmu5 1441351148740 129
pmu10 1441351148840 146
pmu20 1441351148840 269
pmu5 1441351148840 31
pmu10 1441351148940 246
pmu20 1441351148940 369
pmu5 1441351148940 32
pmu10 1441351149040 346
pmu20 1441351149040 7
pmu5 1441351149040 0
pmu10 1441351149140 17
pmu20 1441351149140 8
pmu5 1441351149140 1
pmu10 1441351149240 18
pmu20 1441351149240 9
pmu5 1441351149240 2
pmu10 1441351149340 19
pmu20 1441351149340 10
pmu5 1441351149340 3
pmu10 1441351149440 20
pmu20 1441351149440 11
pmu5 1441351149440 4
pmu10 1441351149540 21
pmu20 1441351149540 12
pmu5 1441351149540 5
pmu10 1441351149641 23
pmu20 1441351149641 14
pmu5 1441351149641 7
pmu10 1441351149740 23
pmu11 1441351149740 18
pmu2 1441351149740 15
pmu20 1441351149740 14
pmu5 1441351149740 7
pmu9 1441351149740 30
pmu10 1441351149841 25
pmu11 1441351149841 119
pmu2 1441351149841 116
pmu20 1441351149841 16
pmu5 1441351149841 9
pmu8 1441351149841 54
pmu9 1441351149841 131
pmu10 1441351149940 25
pmu11 1441351149940 218
pmu17 1441351149940 92
pmu2 1441351149940 215
pmu20 1441351149940 16
pmu3 1441351149940 17
pmu5 1441351149940 9
pmu7 1441351149940 84
pmu8 1441351149940 153
pmu9 1441351149940 32
pmu10 1441351150041 27
pmu11 1441351150041 319
pmu14 1441351150041 84
pmu17 1441351150041 193
pmu2 1441351150041 316
pmu20 1441351150041 18
pmu3 1441351150041 118
pmu5 1441351150041 11
pmu7 1441351150041 185
pmu8 1441351150041 23
pmu9 1441351150041 1
pmu10 1441351150140 27
pmu11 1441351150140 22
pmu12 1441351150140 34
pmu14 1441351150140 183
pmu17 1441351150140 28
pmu2 1441351150140 19
pmu20 1441351150140 18
pmu3 1441351150140 52
pmu5 1441351150140 11
pmu7 1441351150140 20
pmu8 1441351150140 23
pmu9 1441351150140 1
pmu10 1441351150240 28
pmu11 1441351150240 23
pmu12 1441351150240 134
pmu14 1441351150240 52
pmu17 1441351150240 29
pmu2 1441351150240 20
pmu20 1441351150240 19
pmu3 1441351150240 20
pmu5 1441351150240 12
pmu7 1441351150240 21
pmu8 1441351150240 24
pmu9 1441351150240 2
pmu10 1441351150340 29
pmu11 1441351150340 24
pmu12 1441351150340 234
pmu14 1441351150340 20
pmu17 1441351150340 30
pmu2 1441351150340 21
pmu20 1441351150340 20
pmu3 1441351150340 21
pmu5 1441351150340 13
pmu7 1441351150340 22
pmu8 1441351150340 25
pmu9 1441351150340 3
pmu10 1441351150441 31
pmu11 1441351150441 26
pmu12 1441351150441 5
pmu14 1441351150441 22
pmu17 1441351150441 32
pmu2 1441351150441 23
pmu20 1441351150441 22
pmu3 1441351150441 23
pmu5 1441351150441 15
pmu7 1441351150441 24
pmu8 1441351150441 27
pmu9 1441351150441 5
pmu10 1441351150540 31
pmu11 1441351150540 26
pmu12 1441351150540 5
pmu14 1441351150540 22
pmu17 1441351150540 32
pmu2 1441351150540 23
pmu20 1441351150540 22
pmu3 1441351150540 23
pmu5 1441351150540 15
pmu7 1441351150540 24
pmu8 1441351150540 27
pmu9 1441351150540 5
pmu10 1441351150640 32
pmu11 1441351150640 27
pmu12 1441351150640 6
pmu14 1441351150640 23
pmu17 1441351150640 0
pmu2 1441351150640 24
pmu20 1441351150640 23
pmu3 1441351150640 24
pmu5 1441351150640 16
pmu7 1441351150640 25
pmu8 1441351150640 28
pmu9 1441351150640 6
pmu10 1441351150740 0
pmu11 1441351150740 28
pmu12 1441351150740 7
pmu14 1441351150740 24
pmu17 1441351150740 1
pmu2 1441351150740 25
pmu20 1441351150740 24
pmu3 1441351150740 25
pmu5 1441351150740 17
pmu7 1441351150740 26
pmu8 1441351150740 29
pmu9 1441351150740 7
pmu10 1441351150840 1
pmu11 1441351150840 29
pmu12 1441351150840 8
pmu14 1441351150840 25
pmu17 1441351150840 2
pmu2 1441351150840 26
pmu20 1441351150840 25
pmu3 1441351150840 26
pmu5 1441351150840 18
pmu7 1441351150840 27
pmu8 1441351150840 30
pmu9 1441351150840 8
pmu10 1441351150941 3
pmu11 1441351150941 31
pmu12 1441351150941 10
pmu14 1441351150941 27
pmu17 1441351150941 4
pmu2 1441351150941 28
pmu20 1441351150941 27
pmu3 1441351150941 28
pmu5 1441351150941 20
pmu7 1441351150941 29
pmu8 1441351150941 32
pmu9 1441351150941 10
pmu10 1441351151040 3
pmu11 1441351151040 31
pmu12 1441351151040 10
pmu14 1441351151040 27
pmu16 1441351151040 58
pmu17 1441351151040 4
pmu2 1441351151040 28
pmu20 1441351151040 27
pmu3 1441351151040 28
pmu5 1441351151040 20
pmu7 1441351151040 29
pmu8 1441351151040 32
pmu9 1441351151040 10
pmu10 1441351151140 4
pmu11 1441351151140 32
pmu12 1441351151140 11
pmu14 1441351151140 28
pmu16 1441351151140 158
pmu17 1441351151140 5
pmu2 1441351151140 29
pmu20 1441351151140 28
pmu3 1441351151140 29
pmu5 1441351151140 21
pmu7 1441351151140 30
pmu8 1441351151140 0
pmu9 1441351151140 11
pmu10 1441351151240 5
pmu11 1441351151240 0
pmu12 1441351151240 12
pmu14 1441351151240 29
pmu16 1441351151240 258
pmu17 1441351151240 6
pmu2 1441351151240 30
pmu20 1441351151240 29
pmu3 1441351151240 30
pmu5 1441351151240 22
pmu7 1441351151240 31
pmu8 1441351151240 1
pmu9 1441351151240 12
pmu10 1441351151340 6
pmu11 1441351151340 1
pmu12 1441351151340 13
