1 18
1 146
1 417
1 465
1 19
1 5
159 176
159 304
159 575
159 29
159 12
159 31
168 185
168 6
168 313
168 584
168 5
168 21
168 7
180 197
180 18
180 325
180 596
180 17
180 0
180 19
279 296
279 117
279 424
279 695
279 17
279 33
279 19
380 397
380 218
380 162
380 4
380 19
380 2
380 21
479 496
479 317
479 30
479 4
479 19
479 35
479 21
479 90
579 596
579 417
579 31
579 5
579 20
579 3
579 22
579 190
680 235
680 518
680 0
680 7
680 22
680 5
680 24
680 291
779 4
779 23
779 0
779 7
779 22
779 5
779 24
779 390
880 6
880 25
880 2
880 9
880 24
880 7
880 26
880 491
980 7
980 26
980 3
980 10
980 25
980 8
980 27
980 30
1079 7
1079 26
1079 3
1079 10
1079 25
1079 8
1079 27
1079 30
1179 8
1179 27
1179 4
1179 11
1179 26
1179 9
1179 28
1179 31
1289 19
1289 5
1289 15
1289 22
1289 4
1289 20
1289 6
1289 9
1381 12
1381 31
1381 8
1381 15
1381 30
1381 13
1381 32
1381 2
1480 12
1480 31
1480 8
1480 15
1480 30
1480 13
1480 32
1480 2
1579 12
1579 31
1579 8
1579 15
1579 30
1579 13
1579 32
1579 2
1680 14
1680 0
1680 10
1680 17
1680 32
1680 15
1680 1
1680 4
1780 15
1780 1
1780 11
1780 18
1780 33
1780 33
1780 66
1780 16
1780 2
1780 5
1880 16
1880 2
1880 12
1880 34
1880 19
1880 133
1880 1
1880 166
1880 17
1880 3
1880 6
1979 16
1979 2
1979 12
1979 133
1979 19
1979 232
1979 1
1979 1
1979 17
1979 3
1979 6
2079 17
2079 3
2079 13
2079 233
2079 20
2079 332
2079 2
2079 2
2079 18
2079 4
2079 7
2184 23
2184 9
2184 19
2184 338
2184 26
2184 8
2184 8
2184 8
2184 24
2184 10
2184 13
2279 19
2279 5
2279 15
2279 433
2279 22
2279 4
2279 4
2279 4
2279 20
2279 6
2279 9
2381 22
2381 8
2381 13
2381 18
2381 7
2381 25
2381 7
2381 7
2381 7
2381 23
2381 9
2381 12
2479 21
2479 7
2479 111
2479 17
2479 6
2479 24
2479 54
2479 6
2479 6
2479 6
2479 22
2479 8
2479 11
2579 22
2579 8
2579 23
2579 211
2579 18
2579 7
2579 25
2579 154
2579 7
2579 7
2579 7
2579 23
2579 9
2579 12
2679 23
2679 9
2679 123
2679 311
2679 19
2679 8
2679 26
2679 254
2679 8
2679 8
2679 8
2679 24
2679 10
2679 13
2779 24
2779 10
2779 223
2779 15
2779 20
2779 9
2779 27
2779 354
2779 9
2779 9
2779 9
2779 25
2779 11
2779 14
2879 25
2879 11
2879 323
2879 16
2879 21
2879 10
2879 28
2879 25
2879 10
2879 50
2879 10
2879 10
